0001/01/01 00:00:00.000  [M] [log.go:191]  [HTTP] http: TLS handshake error from 127.0.0.1:60407: remote error: tls: unknown certificate
2021/08/15 11:55:53.591  [M] [router.go:1014]  127.0.0.1 - - [15/Aug/2021 11:55:53] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.004301  Go-http-client/1.1
2021/08/15 11:55:53.620  [M] [router.go:1014]  127.0.0.1 - - [15/Aug/2021 11:55:53] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.033300  Go-http-client/1.1
2021/08/15 11:56:03.584  [M] [router.go:1014]  127.0.0.1 - - [15/Aug/2021 11:56:03] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000000  Go-http-client/1.1
2021/08/15 11:56:03.638  [M] [router.go:1014]  127.0.0.1 - - [15/Aug/2021 11:56:03] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.053813  Go-http-client/1.1
2021/08/15 11:56:13.590  [M] [router.go:1014]  127.0.0.1 - - [15/Aug/2021 11:56:13] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001000  Go-http-client/1.1
2021/08/15 11:56:13.653  [M] [router.go:1014]  127.0.0.1 - - [15/Aug/2021 11:56:13] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.063951  Go-http-client/1.1
2021/08/15 11:56:16.472  [M] [router.go:1014]  ::1 - - [01/Jan/0001 12:00:00] "POST /prometheusagent/modify HTTP/2.0 302 166" 0.000000 https://localhost:8888/prometheusagent/modify Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36
2021/08/15 11:56:16.473  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:56:16] "POST /prometheusagent/modify HTTP/2.0 302 166" 0.089084 https://localhost:8888/prometheusagent/modify Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36
2021/08/15 11:56:16.508  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:56:16] "GET /prometheusagent/query HTTP/2.0 200 0" 0.029806 https://localhost:8888/prometheusagent/modify Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36
2021/08/15 11:56:17.948  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:56:17] "GET /prometheusagent/modify?id=1 HTTP/2.0 200 0" 0.031805 https://localhost:8888/prometheusagent/query Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36
2021/08/15 11:56:23.584  [M] [router.go:1014]  127.0.0.1 - - [15/Aug/2021 11:56:23] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000000  Go-http-client/1.1
2021/08/15 11:56:23.626  [M] [router.go:1014]  127.0.0.1 - - [15/Aug/2021 11:56:23] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.042275  Go-http-client/1.1
2021/08/15 11:56:33.588  [M] [router.go:1014]  127.0.0.1 - - [15/Aug/2021 11:56:33] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000652  Go-http-client/1.1
