0001/01/01 00:00:00.000  [M] [log.go:191]  [HTTP] http: TLS handshake error from [::1]:51083: remote error: tls: unknown certificate
2021/08/15 11:19:58.995  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:19:58] "GET /prometheusagent/modify?id=1 HTTP/2.0 200 0" 0.017965  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36
2021/08/15 11:20:03.588  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:20:03] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001213  Go-http-client/1.1
2021/08/15 11:20:03.624  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:20:03] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.037471  Go-http-client/1.1
2021/08/15 11:20:13.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:20:13] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000530  Go-http-client/1.1
2021/08/15 11:20:13.631  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:20:13] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.045406  Go-http-client/1.1
2021/08/15 11:20:23.591  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:20:23] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.004996  Go-http-client/1.1
2021/08/15 11:20:23.712  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:20:23] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.125967  Go-http-client/1.1
2021/08/15 11:20:33.588  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:20:33] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000929  Go-http-client/1.1
2021/08/15 11:20:33.621  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:20:33] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.033099  Go-http-client/1.1
2021/08/15 11:20:43.587  [M] [router.go:1014]  ::1 - - [15/Aug/2021 11:20:43] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001396  Go-http-client/1.1
