0001/01/01 00:00:00.000  [M] [log.go:191]  [HTTP] http: TLS handshake error from [::1]:62461: remote error: tls: bad certificate
2021/08/08 18:46:06.128  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:46:06] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.002045  Go-http-client/1.1
2021/08/08 18:46:16.128  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:46:16] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001908  Go-http-client/1.1
2021/08/08 18:46:16.128  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:46:16] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.001790  Go-http-client/1.1
2021/08/08 18:46:26.126  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:46:26] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.000581  Go-http-client/1.1
2021/08/08 18:46:26.126  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:46:26] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001150  Go-http-client/1.1
2021/08/08 18:46:36.126  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:46:36] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000992  Go-http-client/1.1
2021/08/08 18:46:36.128  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:46:36] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.000991  Go-http-client/1.1
2021/08/08 18:46:46.146  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:46:46] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.017702  Go-http-client/1.1
2021/08/08 18:46:46.166  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:46:46] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.030530  Go-http-client/1.1
2021/08/08 18:46:56.127  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:46:56] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001000  Go-http-client/1.1
2021/08/08 18:46:56.128  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:46:56] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.002000  Go-http-client/1.1
2021/08/08 18:47:06.126  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:47:06] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001149  Go-http-client/1.1
2021/08/08 18:47:06.127  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:47:06] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.000573  Go-http-client/1.1
2021/08/08 18:47:16.127  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:47:16] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.003260  Go-http-client/1.1
2021/08/08 18:47:16.128  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:47:16] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.001715  Go-http-client/1.1
2021/08/08 18:47:26.197  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:47:26] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.059634  Go-http-client/1.1
2021/08/08 18:47:26.212  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:47:26] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.074883  Go-http-client/1.1
2021/08/08 18:47:36.126  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:47:36] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001194  Go-http-client/1.1
2021/08/08 18:47:36.128  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:47:36] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.000977  Go-http-client/1.1
2021/08/08 18:47:46.127  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:47:46] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.003295  Go-http-client/1.1
